event_id,well_id,depth_m,formation,event_type,severity,event_description,duration_hours,operational_impact
E0020,W001,3061,Sandstone,Stuck Pipe,Medium,"Pack-off and stuck pipe in Sandstone at 3061 m; rotation lost, string freed after jarring and lubricant spotting.",12.4,Partial non-productive time; drilling suspended while the well was treated and conditioned.
E0021,W002,476,Claystone,Mud Loss,Low,Partial loss of drilling fluid recorded at 476 m in the Claystone interval; returns reduced and LCM pumped to regain circulation.,2.2,Minor non-productive time; operations resumed after routine parameter adjustment.
E0022,W002,1128,Shale,Stuck Pipe,Medium,Drill string became stuck at 1128 m within the Shale section; overpull observed and jarring / working of pipe required.,11.5,Partial non-productive time; drilling suspended while the well was treated and conditioned.
E0023,W002,1401,Shale,Cementing Issue,High,Cement slurry losses while cementing across Shale at 1401 m; top of cement lower than designed.,20.5,Significant non-productive time; remedial operations and additional materials required.
E0024,W002,1506,Shale,Stuck Pipe,Low,Drill string became stuck at 1506 m within the Shale section; overpull observed and jarring / working of pipe required.,5.5,Minor non-productive time; operations resumed after routine parameter adjustment.
E0025,W002,3307,Limestone,Kick,Medium,"Unexpected formation influx in Limestone at 3307 m; flow check positive, BOP closed and circulation of kill mud carried out.",9.8,Partial non-productive time; drilling suspended while the well was treated and conditioned.
E0026,W002,1098,Shale,Wellbore Instability,High,Sloughing Shale at 1098 m produced excess cuttings volume and hole enlargement; mud properties adjusted.,26.1,Significant non-productive time; remedial operations and additional materials required.
E0027,W003,958,Shale,Casing Issue,Low,Restricted casing passage through plastic Shale at 958 m; hole conditioned and casing rerun.,5.6,Minor non-productive time; operations resumed after routine parameter adjustment.
E0028,W003,2210,Sandstone,Mud Loss,Medium,Loss of circulation into porous Sandstone at 2210 m; drilling paused and a lost-circulation-material pill spotted.,6.2,Partial non-productive time; drilling suspended while the well was treated and conditioned.
E0029,W003,2987,Sandstone,Cementing Issue,Low,Cement slurry losses while cementing across Sandstone at 2987 m; top of cement lower than designed.,3.6,Minor non-productive time; operations resumed after routine parameter adjustment.
E0030,W003,612,Claystone,Casing Issue,Low,Restricted casing passage through plastic Claystone at 612 m; hole conditioned and casing rerun.,6.6,Minor non-productive time; operations resumed after routine parameter adjustment.
E0031,W003,1049,Shale,Casing Issue,Medium,Casing integrity concern noted opposite Shale at 1049 m; pressure test anomaly investigated before proceeding.,14.2,Partial non-productive time; drilling suspended while the well was treated and conditioned.
E0032,W003,1447,Shale,Stuck Pipe,Medium,Drill string became stuck at 1447 m within the Shale section; overpull observed and jarring / working of pipe required.,14.1,Partial non-productive time; drilling suspended while the well was treated and conditioned.
E0033,W003,1169,Shale,Casing Issue,Critical,Restricted casing passage through plastic Shale at 1169 m; hole conditioned and casing rerun.,45.6,Major non-productive time; section objectives affected and specialist intervention required.
E0034,W004,3237,Limestone,Mud Loss,Medium,Loss of circulation into porous Limestone at 3237 m; drilling paused and a lost-circulation-material pill spotted.,7.4,Partial non-productive time; drilling suspended while the well was treated and conditioned.
E0035,W005,2296,Sandstone,Mud Loss,Low,Loss of circulation into porous Sandstone at 2296 m; drilling paused and a lost-circulation-material pill spotted.,2.9,Minor non-productive time; operations resumed after routine parameter adjustment.
E0036,W005,916,Shale,Wellbore Instability,High,Sloughing Shale at 916 m produced excess cuttings volume and hole enlargement; mud properties adjusted.,23.8,Significant non-productive time; remedial operations and additional materials required.
E0037,W005,2159,Sandstone,Mud Loss,High,Seepage-to-partial mud losses observed while drilling Sandstone at 2159 m; mud weight trimmed and losses monitored.,11.1,Significant non-productive time; remedial operations and additional materials required.
E0038,W005,2191,Sandstone,Wellbore Instability,Medium,Sloughing Sandstone at 2191 m produced excess cuttings volume and hole enlargement; mud properties adjusted.,11.6,Partial non-productive time; drilling suspended while the well was treated and conditioned.
E0039,W005,2278,Sandstone,Cementing Issue,Critical,Incomplete annular cement coverage near 2278 m in Sandstone; remedial cementing operation carried out.,42.5,Major non-productive time; section objectives affected and specialist intervention required.
E0040,W007,2317,Sandstone,Stuck Pipe,High,Differential/mechanical sticking of the string at 2317 m in Sandstone; hole cleaning improved and pipe recovered.,28.2,Significant non-productive time; remedial operations and additional materials required.
E0041,W007,2823,Sandstone,Stuck Pipe,Medium,Differential/mechanical sticking of the string at 2823 m in Sandstone; hole cleaning improved and pipe recovered.,11.4,Partial non-productive time; drilling suspended while the well was treated and conditioned.
E0042,W007,2852,Sandstone,Casing Issue,High,Casing integrity concern noted opposite Sandstone at 2852 m; pressure test anomaly investigated before proceeding.,34.4,Significant non-productive time; remedial operations and additional materials required.
E0043,W008,412,Claystone,Wellbore Instability,High,Sloughing Claystone at 412 m produced excess cuttings volume and hole enlargement; mud properties adjusted.,25.4,Significant non-productive time; remedial operations and additional materials required.
E0044,W008,524,Claystone,Cementing Issue,High,Poor cement bond opposite Claystone at 524 m; channelling indicated on the bond log and a remedial squeeze planned.,18.9,Significant non-productive time; remedial operations and additional materials required.
E0045,W008,1673,Shale,Wellbore Instability,High,Borehole collapse tendency in Shale at 1673 m; repeated back-reaming needed to maintain hole condition.,23.9,Significant non-productive time; remedial operations and additional materials required.
E0046,W008,1180,Shale,Cementing Issue,Medium,Poor cement bond opposite Shale at 1180 m; channelling indicated on the bond log and a remedial squeeze planned.,10.2,Partial non-productive time; drilling suspended while the well was treated and conditioned.
E0047,W008,2669,Sandstone,Mud Loss,High,Seepage-to-partial mud losses observed while drilling Sandstone at 2669 m; mud weight trimmed and losses monitored.,11.1,Significant non-productive time; remedial operations and additional materials required.
E0048,W008,3513,Limestone,Wellbore Instability,Critical,Hole instability and cavings from the Limestone interval at 3513 m; tight hole on connections and reaming required.,36.8,Major non-productive time; section objectives affected and specialist intervention required.
E0049,W008,2735,Sandstone,Mud Loss,High,Partial loss of drilling fluid recorded at 2735 m in the Sandstone interval; returns reduced and LCM pumped to regain circulation.,16.2,Significant non-productive time; remedial operations and additional materials required.
E0050,W008,3637,Limestone,Casing Issue,Low,Restricted casing passage through plastic Limestone at 3637 m; hole conditioned and casing rerun.,5.6,Minor non-productive time; operations resumed after routine parameter adjustment.
E0051,W009,2068,Sandstone,Mud Loss,Medium,Loss of circulation into porous Sandstone at 2068 m; drilling paused and a lost-circulation-material pill spotted.,5.5,Partial non-productive time; drilling suspended while the well was treated and conditioned.
E0052,W009,592,Claystone,Cementing Issue,Low,Poor cement bond opposite Claystone at 592 m; channelling indicated on the bond log and a remedial squeeze planned.,3.7,Minor non-productive time; operations resumed after routine parameter adjustment.
E0053,W009,500,Claystone,Cementing Issue,Medium,Poor cement bond opposite Claystone at 500 m; channelling indicated on the bond log and a remedial squeeze planned.,7.4,Partial non-productive time; drilling suspended while the well was treated and conditioned.
E0054,W009,1921,Sandstone,Mud Loss,High,Loss of circulation into porous Sandstone at 1921 m; drilling paused and a lost-circulation-material pill spotted.,15.3,Significant non-productive time; remedial operations and additional materials required.
E0055,W009,2597,Sandstone,Mud Loss,Medium,Loss of circulation into porous Sandstone at 2597 m; drilling paused and a lost-circulation-material pill spotted.,6.1,Partial non-productive time; drilling suspended while the well was treated and conditioned.
E0056,W009,1879,Sandstone,Wellbore Instability,High,Borehole collapse tendency in Sandstone at 1879 m; repeated back-reaming needed to maintain hole condition.,19,Significant non-productive time; remedial operations and additional materials required.
E0057,W010,2628,Sandstone,Mud Loss,High,Loss of circulation into porous Sandstone at 2628 m; drilling paused and a lost-circulation-material pill spotted.,15.1,Significant non-productive time; remedial operations and additional materials required.
E0058,W010,594,Claystone,Casing Issue,Low,Casing integrity concern noted opposite Claystone at 594 m; pressure test anomaly investigated before proceeding.,6.6,Minor non-productive time; operations resumed after routine parameter adjustment.
E0059,W010,2952,Limestone,Mud Loss,Medium,Loss of circulation into porous Limestone at 2952 m; drilling paused and a lost-circulation-material pill spotted.,7.5,Partial non-productive time; drilling suspended while the well was treated and conditioned.
E0060,W010,2305,Sandstone,Mud Loss,Medium,Partial loss of drilling fluid recorded at 2305 m in the Sandstone interval; returns reduced and LCM pumped to regain circulation.,6.5,Partial non-productive time; drilling suspended while the well was treated and conditioned.
E0061,W010,1695,Shale,Mud Loss,Medium,Seepage-to-partial mud losses observed while drilling Shale at 1695 m; mud weight trimmed and losses monitored.,7.3,Partial non-productive time; drilling suspended while the well was treated and conditioned.
E0062,W010,1554,Shale,Wellbore Instability,High,Borehole collapse tendency in Shale at 1554 m; repeated back-reaming needed to maintain hole condition.,20.8,Significant non-productive time; remedial operations and additional materials required.
E0063,W010,1155,Shale,Stuck Pipe,Medium,Differential/mechanical sticking of the string at 1155 m in Shale; hole cleaning improved and pipe recovered.,13,Partial non-productive time; drilling suspended while the well was treated and conditioned.
E0064,W011,2724,Sandstone,Stuck Pipe,Medium,Differential/mechanical sticking of the string at 2724 m in Sandstone; hole cleaning improved and pipe recovered.,16.2,Partial non-productive time; drilling suspended while the well was treated and conditioned.
E0065,W011,2910,Sandstone,Mud Loss,High,Loss of circulation into porous Sandstone at 2910 m; drilling paused and a lost-circulation-material pill spotted.,15,Significant non-productive time; remedial operations and additional materials required.
E0066,W011,2819,Sandstone,Mud Loss,Critical,Loss of circulation into porous Sandstone at 2819 m; drilling paused and a lost-circulation-material pill spotted.,18.8,Major non-productive time; section objectives affected and specialist intervention required.
E0067,W011,872,Shale,Stuck Pipe,Medium,Differential/mechanical sticking of the string at 872 m in Shale; hole cleaning improved and pipe recovered.,12.3,Partial non-productive time; drilling suspended while the well was treated and conditioned.
E0068,W011,69,Claystone,Casing Issue,Critical,Casing integrity concern noted opposite Claystone at 69 m; pressure test anomaly investigated before proceeding.,58.7,Major non-productive time; section objectives affected and specialist intervention required.
E0069,W012,3372,Limestone,Stuck Pipe,Medium,Drill string became stuck at 3372 m within the Limestone section; overpull observed and jarring / working of pipe required.,10.7,Partial non-productive time; drilling suspended while the well was treated and conditioned.
E0070,W012,2003,Shale,Stuck Pipe,High,Drill string became stuck at 2003 m within the Shale section; overpull observed and jarring / working of pipe required.,32.2,Significant non-productive time; remedial operations and additional materials required.
E0071,W012,1175,Shale,Wellbore Instability,Medium,Hole instability and cavings from the Shale interval at 1175 m; tight hole on connections and reaming required.,11.1,Partial non-productive time; drilling suspended while the well was treated and conditioned.
E0072,W012,839,Shale,Stuck Pipe,Medium,Drill string became stuck at 839 m within the Shale section; overpull observed and jarring / working of pipe required.,15.9,Partial non-productive time; drilling suspended while the well was treated and conditioned.
E0073,W013,1252,Shale,Stuck Pipe,Low,Drill string became stuck at 1252 m within the Shale section; overpull observed and jarring / working of pipe required.,5.8,Minor non-productive time; operations resumed after routine parameter adjustment.
E0074,W013,2335,Sandstone,Wellbore Instability,Medium,Sloughing Sandstone at 2335 m produced excess cuttings volume and hole enlargement; mud properties adjusted.,8.7,Partial non-productive time; drilling suspended while the well was treated and conditioned.
E0075,W013,1055,Shale,Wellbore Instability,Medium,Sloughing Shale at 1055 m produced excess cuttings volume and hole enlargement; mud properties adjusted.,10,Partial non-productive time; drilling suspended while the well was treated and conditioned.
E0076,W013,918,Shale,Mud Loss,High,Seepage-to-partial mud losses observed while drilling Shale at 918 m; mud weight trimmed and losses monitored.,15.2,Significant non-productive time; remedial operations and additional materials required.
E0077,W013,1102,Shale,Stuck Pipe,Low,"Pack-off and stuck pipe in Shale at 1102 m; rotation lost, string freed after jarring and lubricant spotting.",5.9,Minor non-productive time; operations resumed after routine parameter adjustment.
E0078,W014,2552,Sandstone,Mud Loss,High,Loss of circulation into porous Sandstone at 2552 m; drilling paused and a lost-circulation-material pill spotted.,12.6,Significant non-productive time; remedial operations and additional materials required.
E0079,W014,93,Claystone,Cementing Issue,Medium,Cement slurry losses while cementing across Claystone at 93 m; top of cement lower than designed.,9.7,Partial non-productive time; drilling suspended while the well was treated and conditioned.
E0080,W014,814,Shale,Wellbore Instability,Low,Borehole collapse tendency in Shale at 814 m; repeated back-reaming needed to maintain hole condition.,5,Minor non-productive time; operations resumed after routine parameter adjustment.
E0081,W014,983,Shale,Wellbore Instability,Medium,Hole instability and cavings from the Shale interval at 983 m; tight hole on connections and reaming required.,10.7,Partial non-productive time; drilling suspended while the well was treated and conditioned.
E0082,W015,2226,Sandstone,Mud Loss,High,Partial loss of drilling fluid recorded at 2226 m in the Sandstone interval; returns reduced and LCM pumped to regain circulation.,12,Significant non-productive time; remedial operations and additional materials required.
E0083,W015,1609,Shale,Wellbore Instability,Medium,Sloughing Shale at 1609 m produced excess cuttings volume and hole enlargement; mud properties adjusted.,12.1,Partial non-productive time; drilling suspended while the well was treated and conditioned.
E0084,W015,2756,Sandstone,Casing Issue,Medium,Casing running difficulty at 2756 m in the Sandstone section; casing hung up and required reciprocation to reach depth.,11.5,Partial non-productive time; drilling suspended while the well was treated and conditioned.
E0085,W015,1684,Shale,Stuck Pipe,Low,Differential/mechanical sticking of the string at 1684 m in Shale; hole cleaning improved and pipe recovered.,6.1,Minor non-productive time; operations resumed after routine parameter adjustment.
E0086,W015,116,Claystone,Casing Issue,Medium,Casing running difficulty at 116 m in the Claystone section; casing hung up and required reciprocation to reach depth.,14.4,Partial non-productive time; drilling suspended while the well was treated and conditioned.
E0087,W015,1303,Shale,Stuck Pipe,Medium,"Pack-off and stuck pipe in Shale at 1303 m; rotation lost, string freed after jarring and lubricant spotting.",13.6,Partial non-productive time; drilling suspended while the well was treated and conditioned.
E0088,W015,611,Claystone,Casing Issue,Low,Casing running difficulty at 611 m in the Claystone section; casing hung up and required reciprocation to reach depth.,7.6,Minor non-productive time; operations resumed after routine parameter adjustment.
E0089,W015,1630,Shale,Wellbore Instability,Critical,Sloughing Shale at 1630 m produced excess cuttings volume and hole enlargement; mud properties adjusted.,41.5,Major non-productive time; section objectives affected and specialist intervention required.
E0090,W016,3671,Limestone,Kick,Critical,"Unexpected formation influx in Limestone at 3671 m; flow check positive, BOP closed and circulation of kill mud carried out.",29.2,Major non-productive time; section objectives affected and specialist intervention required.
E0091,W016,1474,Shale,Wellbore Instability,Critical,Hole instability and cavings from the Shale interval at 1474 m; tight hole on connections and reaming required.,32.9,Major non-productive time; section objectives affected and specialist intervention required.
E0092,W016,1367,Shale,Wellbore Instability,High,Borehole collapse tendency in Shale at 1367 m; repeated back-reaming needed to maintain hole condition.,27.2,Significant non-productive time; remedial operations and additional materials required.
E0093,W016,2420,Sandstone,Wellbore Instability,Low,Hole instability and cavings from the Sandstone interval at 2420 m; tight hole on connections and reaming required.,4.5,Minor non-productive time; operations resumed after routine parameter adjustment.
E0094,W016,438,Claystone,Casing Issue,Low,Casing integrity concern noted opposite Claystone at 438 m; pressure test anomaly investigated before proceeding.,7.2,Minor non-productive time; operations resumed after routine parameter adjustment.
E0095,W017,1377,Shale,Stuck Pipe,Medium,Differential/mechanical sticking of the string at 1377 m in Shale; hole cleaning improved and pipe recovered.,15,Partial non-productive time; drilling suspended while the well was treated and conditioned.
E0096,W020,1650,Shale,Wellbore Instability,Medium,Borehole collapse tendency in Shale at 1650 m; repeated back-reaming needed to maintain hole condition.,11.4,Partial non-productive time; drilling suspended while the well was treated and conditioned.
E0097,W020,492,Claystone,Kick,Low,"Pressure-related kick detected while drilling Claystone at 492 m; annular pressure rise recorded, mud weight raised after control.",3.9,Minor non-productive time; operations resumed after routine parameter adjustment.
E0098,W021,2649,Sandstone,Casing Issue,Low,Restricted casing passage through plastic Sandstone at 2649 m; hole conditioned and casing rerun.,7.3,Minor non-productive time; operations resumed after routine parameter adjustment.
E0099,W021,2396,Sandstone,Kick,Medium,"Unexpected formation influx in Sandstone at 2396 m; flow check positive, BOP closed and circulation of kill mud carried out.",7.1,Partial non-productive time; drilling suspended while the well was treated and conditioned.
E0100,W021,2391,Sandstone,Mud Loss,High,Seepage-to-partial mud losses observed while drilling Sandstone at 2391 m; mud weight trimmed and losses monitored.,14.6,Significant non-productive time; remedial operations and additional materials required.
E0101,W021,2548,Sandstone,Mud Loss,Medium,Seepage-to-partial mud losses observed while drilling Sandstone at 2548 m; mud weight trimmed and losses monitored.,5.8,Partial non-productive time; drilling suspended while the well was treated and conditioned.
E0102,W022,1063,Shale,Mud Loss,Medium,Partial loss of drilling fluid recorded at 1063 m in the Shale interval; returns reduced and LCM pumped to regain circulation.,6,Partial non-productive time; drilling suspended while the well was treated and conditioned.
E0103,W022,924,Shale,Stuck Pipe,High,Differential/mechanical sticking of the string at 924 m in Shale; hole cleaning improved and pipe recovered.,28.1,Significant non-productive time; remedial operations and additional materials required.
E0104,W022,2680,Sandstone,Wellbore Instability,High,Hole instability and cavings from the Sandstone interval at 2680 m; tight hole on connections and reaming required.,19.6,Significant non-productive time; remedial operations and additional materials required.
E0105,W023,56,Claystone,Casing Issue,High,Casing integrity concern noted opposite Claystone at 56 m; pressure test anomaly investigated before proceeding.,26.6,Significant non-productive time; remedial operations and additional materials required.
E0106,W023,2838,Sandstone,Mud Loss,Medium,Loss of circulation into porous Sandstone at 2838 m; drilling paused and a lost-circulation-material pill spotted.,7.2,Partial non-productive time; drilling suspended while the well was treated and conditioned.
E0107,W023,3113,Sandstone,Wellbore Instability,Low,Borehole collapse tendency in Sandstone at 3113 m; repeated back-reaming needed to maintain hole condition.,5,Minor non-productive time; operations resumed after routine parameter adjustment.
E0108,W023,1493,Shale,Stuck Pipe,Medium,Differential/mechanical sticking of the string at 1493 m in Shale; hole cleaning improved and pipe recovered.,15.8,Partial non-productive time; drilling suspended while the well was treated and conditioned.
E0109,W023,2374,Sandstone,Mud Loss,High,Seepage-to-partial mud losses observed while drilling Sandstone at 2374 m; mud weight trimmed and losses monitored.,13.3,Significant non-productive time; remedial operations and additional materials required.
E0110,W023,1860,Shale,Wellbore Instability,Low,Hole instability and cavings from the Shale interval at 1860 m; tight hole on connections and reaming required.,5.5,Minor non-productive time; operations resumed after routine parameter adjustment.
E0111,W023,2600,Sandstone,Mud Loss,High,Partial loss of drilling fluid recorded at 2600 m in the Sandstone interval; returns reduced and LCM pumped to regain circulation.,11.1,Significant non-productive time; remedial operations and additional materials required.
E0112,W024,1074,Shale,Wellbore Instability,Medium,Hole instability and cavings from the Shale interval at 1074 m; tight hole on connections and reaming required.,8.7,Partial non-productive time; drilling suspended while the well was treated and conditioned.
E0113,W024,3274,Sandstone,Mud Loss,Low,Seepage-to-partial mud losses observed while drilling Sandstone at 3274 m; mud weight trimmed and losses monitored.,2.3,Minor non-productive time; operations resumed after routine parameter adjustment.
E0114,W024,2594,Sandstone,Mud Loss,High,Partial loss of drilling fluid recorded at 2594 m in the Sandstone interval; returns reduced and LCM pumped to regain circulation.,11.6,Significant non-productive time; remedial operations and additional materials required.
E0115,W024,2633,Sandstone,Mud Loss,Critical,Loss of circulation into porous Sandstone at 2633 m; drilling paused and a lost-circulation-material pill spotted.,23,Major non-productive time; section objectives affected and specialist intervention required.
E0116,W024,687,Shale,Wellbore Instability,Medium,Sloughing Shale at 687 m produced excess cuttings volume and hole enlargement; mud properties adjusted.,11.1,Partial non-productive time; drilling suspended while the well was treated and conditioned.
E0117,W025,2139,Sandstone,Mud Loss,Low,Seepage-to-partial mud losses observed while drilling Sandstone at 2139 m; mud weight trimmed and losses monitored.,2.9,Minor non-productive time; operations resumed after routine parameter adjustment.
E0118,W025,368,Claystone,Casing Issue,Medium,Casing integrity concern noted opposite Claystone at 368 m; pressure test anomaly investigated before proceeding.,15.2,Partial non-productive time; drilling suspended while the well was treated and conditioned.
E0119,W025,2534,Sandstone,Stuck Pipe,Low,Differential/mechanical sticking of the string at 2534 m in Sandstone; hole cleaning improved and pipe recovered.,5.6,Minor non-productive time; operations resumed after routine parameter adjustment.
E0120,W025,429,Claystone,Cementing Issue,High,Cement slurry losses while cementing across Claystone at 429 m; top of cement lower than designed.,22.4,Significant non-productive time; remedial operations and additional materials required.
E0121,W025,170,Claystone,Cementing Issue,Medium,Poor cement bond opposite Claystone at 170 m; channelling indicated on the bond log and a remedial squeeze planned.,7.8,Partial non-productive time; drilling suspended while the well was treated and conditioned.
E0122,W027,2050,Shale,Cementing Issue,Low,Incomplete annular cement coverage near 2050 m in Shale; remedial cementing operation carried out.,4.7,Minor non-productive time; operations resumed after routine parameter adjustment.
E0123,W027,185,Claystone,Stuck Pipe,Low,Differential/mechanical sticking of the string at 185 m in Claystone; hole cleaning improved and pipe recovered.,7.1,Minor non-productive time; operations resumed after routine parameter adjustment.
E0124,W027,1761,Shale,Wellbore Instability,Medium,Borehole collapse tendency in Shale at 1761 m; repeated back-reaming needed to maintain hole condition.,8.3,Partial non-productive time; drilling suspended while the well was treated and conditioned.
E0125,W027,1136,Shale,Wellbore Instability,High,Sloughing Shale at 1136 m produced excess cuttings volume and hole enlargement; mud properties adjusted.,22.8,Significant non-productive time; remedial operations and additional materials required.
E0126,W027,2177,Sandstone,Cementing Issue,Low,Incomplete annular cement coverage near 2177 m in Sandstone; remedial cementing operation carried out.,5,Minor non-productive time; operations resumed after routine parameter adjustment.
E0127,W027,3689,Limestone,Kick,High,"Pressure-related kick detected while drilling Limestone at 3689 m; annular pressure rise recorded, mud weight raised after control.",16.5,Significant non-productive time; remedial operations and additional materials required.
E0128,W027,3134,Sandstone,Kick,High,"Pressure-related kick detected while drilling Sandstone at 3134 m; annular pressure rise recorded, mud weight raised after control.",20.1,Significant non-productive time; remedial operations and additional materials required.
E0129,W028,2514,Sandstone,Casing Issue,Medium,Restricted casing passage through plastic Sandstone at 2514 m; hole conditioned and casing rerun.,16,Partial non-productive time; drilling suspended while the well was treated and conditioned.
E0130,W028,3081,Limestone,Kick,High,"Unexpected formation influx in Limestone at 3081 m; flow check positive, BOP closed and circulation of kill mud carried out.",14.8,Significant non-productive time; remedial operations and additional materials required.
E0131,W029,1351,Shale,Wellbore Instability,Critical,Borehole collapse tendency in Shale at 1351 m; repeated back-reaming needed to maintain hole condition.,31,Major non-productive time; section objectives affected and specialist intervention required.
E0132,W029,3197,Limestone,Kick,High,"Unexpected formation influx in Limestone at 3197 m; flow check positive, BOP closed and circulation of kill mud carried out.",18.7,Significant non-productive time; remedial operations and additional materials required.
E0133,W030,3146,Limestone,Mud Loss,Low,Seepage-to-partial mud losses observed while drilling Limestone at 3146 m; mud weight trimmed and losses monitored.,3.3,Minor non-productive time; operations resumed after routine parameter adjustment.
E0134,W030,392,Claystone,Wellbore Instability,Medium,Sloughing Claystone at 392 m produced excess cuttings volume and hole enlargement; mud properties adjusted.,11.8,Partial non-productive time; drilling suspended while the well was treated and conditioned.
E0135,W030,3065,Limestone,Stuck Pipe,Medium,"Pack-off and stuck pipe in Limestone at 3065 m; rotation lost, string freed after jarring and lubricant spotting.",14,Partial non-productive time; drilling suspended while the well was treated and conditioned.
E0136,W030,880,Shale,Stuck Pipe,Critical,Drill string became stuck at 880 m within the Shale section; overpull observed and jarring / working of pipe required.,51.7,Major non-productive time; section objectives affected and specialist intervention required.
E0137,W030,1590,Shale,Kick,Low,"Unexpected formation influx in Shale at 1590 m; flow check positive, BOP closed and circulation of kill mud carried out.",3.7,Minor non-productive time; operations resumed after routine parameter adjustment.
E0138,W031,2716,Sandstone,Casing Issue,Low,Restricted casing passage through plastic Sandstone at 2716 m; hole conditioned and casing rerun.,6.2,Minor non-productive time; operations resumed after routine parameter adjustment.
E0139,W031,1620,Shale,Casing Issue,Medium,Casing running difficulty at 1620 m in the Shale section; casing hung up and required reciprocation to reach depth.,17.2,Partial non-productive time; drilling suspended while the well was treated and conditioned.
E0140,W031,1649,Shale,Wellbore Instability,Medium,Hole instability and cavings from the Shale interval at 1649 m; tight hole on connections and reaming required.,11.1,Partial non-productive time; drilling suspended while the well was treated and conditioned.
E0141,W031,2657,Sandstone,Casing Issue,Medium,Casing integrity concern noted opposite Sandstone at 2657 m; pressure test anomaly investigated before proceeding.,13.5,Partial non-productive time; drilling suspended while the well was treated and conditioned.
E0142,W031,3282,Sandstone,Wellbore Instability,Medium,Borehole collapse tendency in Sandstone at 3282 m; repeated back-reaming needed to maintain hole condition.,9.9,Partial non-productive time; drilling suspended while the well was treated and conditioned.
