well_id,formation_name,top_depth_m,bottom_depth_m
W076,Sandstone,2828,3220
W077,Claystone,0,465
W077,Shale,465,1476
W077,Limestone,1476,2721
W077,Sandstone,2721,3080
W078,Shale,0,1691
W078,Limestone,1691,3161
W078,Sandstone,3161,3600
W079,Claystone,0,462
W079,Shale,462,1537
W079,Limestone,1537,2881
W079,Sandstone,2881,3260
W080,Claystone,0,558
W080,Shale,558,1786
W080,Limestone,1786,3193
W080,Sandstone,3193,3650
W081,Claystone,0,534
W081,Shale,534,1732
W081,Limestone,1732,3108
W081,Sandstone,3108,3550
W082,Claystone,0,531
W082,Shale,531,1711
W082,Limestone,1711,3065
W082,Sandstone,3065,3470
W083,Shale,0,1723
W083,Limestone,1723,3182
W083,Sandstone,3182,3640
W084,Claystone,0,472
W084,Shale,472,1497
W084,Limestone,1497,2830
W084,Sandstone,2830,3210
W085,Claystone,0,453
W085,Shale,453,1376
W085,Limestone,1376,2577
W085,Sandstone,2577,2920
W086,Claystone,0,488
W086,Shale,488,1747
W086,Limestone,1747,3045
W086,Sandstone,3045,3470
W087,Claystone,0,572
W087,Shale,572,1766
W087,Limestone,1766,3141
W087,Sandstone,3141,3590
W088,Claystone,0,525
W088,Shale,525,1708
W088,Limestone,1708,2998
W088,Sandstone,2998,3430
W089,Conglomerate,0,352
W089,Sandstone,352,1390
W089,Shale,1390,2450
W089,Limestone,2450,2800
W090,Conglomerate,0,358
W090,Sandstone,358,1292
W090,Shale,1292,2418
W090,Limestone,2418,2760
W091,Conglomerate,0,464
W091,Sandstone,464,1620
W091,Shale,1620,2894
W091,Limestone,2894,3310
W092,Conglomerate,0,334
W092,Sandstone,334,1350
W092,Shale,1350,2479
W092,Limestone,2479,2830
W093,Conglomerate,0,380
W093,Sandstone,380,1316
W093,Shale,1316,2412
W093,Limestone,2412,2760
W094,Sandstone,0,1284
W094,Shale,1284,2395
W094,Limestone,2395,2760
W095,Conglomerate,0,321
W095,Sandstone,321,1342
W095,Shale,1342,2373
W095,Limestone,2373,2730
W096,Conglomerate,0,436
W096,Sandstone,436,1512
W096,Shale,1512,2783
W096,Limestone,2783,3180
W097,Conglomerate,0,363
W097,Sandstone,363,1593
W097,Shale,1593,2817
W097,Limestone,2817,3250
W098,Conglomerate,0,429
W098,Sandstone,429,1532
W098,Shale,1532,2701
W098,Limestone,2701,3120
W099,Sandstone,0,1555
W099,Shale,1555,2709
W099,Limestone,2709,3110
W100,Conglomerate,0,484
W100,Sandstone,484,1675
W100,Shale,1675,2967
W100,Limestone,2967,3400
W101,Conglomerate,0,404
W101,Sandstone,404,1360
W101,Shale,1360,2437
W101,Limestone,2437,2780
W102,Conglomerate,0,322
W102,Sandstone,322,1353
W102,Shale,1353,2481
W102,Limestone,2481,2850
W103,Sandstone,0,1647
W103,Shale,1647,2910
W103,Limestone,2910,3340
W104,Conglomerate,0,431
W104,Sandstone,431,1604
W104,Shale,1604,2926
W104,Limestone,2926,3370
W105,Conglomerate,0,407
W105,Sandstone,407,1348
W105,Shale,1348,2474
W105,Limestone,2474,2860
W106,Sandstone,0,1629
W106,Shale,1629,2958
W106,Limestone,2958,3400
W107,Conglomerate,0,403
W107,Sandstone,403,1364
W107,Shale,1364,2526
W107,Limestone,2526,2880
W108,Conglomerate,0,404
W108,Sandstone,404,1575
W108,Shale,1575,2768
W108,Limestone,2768,3170
W109,Claystone,0,607
W109,Shale,607,1736
W109,Conglomerate,1736,2357
W109,Sandstone,2357,2880
W110,Claystone,0,588
W110,Shale,588,1685
W110,Conglomerate,1685,2338
W110,Sandstone,2338,2860
W111,Claystone,0,694
W111,Shale,694,1830
W111,Conglomerate,1830,2457
W111,Sandstone,2457,3030
W112,Claystone,0,607
W112,Shale,607,1794
W112,Conglomerate,1794,2416
W112,Sandstone,2416,2970
W113,Claystone,0,684
W113,Shale,684,1972
W113,Conglomerate,1972,2665
W113,Sandstone,2665,3310
W114,Claystone,0,665
W114,Shale,665,1953
W114,Conglomerate,1953,2672
W114,Sandstone,2672,3300
W115,Claystone,0,714
W115,Shale,714,1928
W115,Conglomerate,1928,2604
W115,Sandstone,2604,3210
W116,Claystone,0,679
W116,Shale,679,1817
W116,Conglomerate,1817,2466
W116,Sandstone,2466,3010
W117,Claystone,0,638
W117,Shale,638,1741
W117,Conglomerate,1741,2416
W117,Sandstone,2416,2940
W118,Claystone,0,603
W118,Shale,603,1763
W118,Conglomerate,1763,2470
W118,Sandstone,2470,3010
W119,Claystone,0,626
W119,Shale,626,1777
W119,Conglomerate,1777,2427
W119,Sandstone,2427,3000
W120,Claystone,0,660
W120,Shale,660,1831
W120,Conglomerate,1831,2506
W120,Sandstone,2506,3060
W121,Claystone,0,667
W121,Shale,667,1942
W121,Conglomerate,1942,2703
W121,Sandstone,2703,3300
W122,Claystone,0,671
W122,Shale,671,1795
W122,Conglomerate,1795,2519
W122,Sandstone,2519,3070
W123,Claystone,0,614
W123,Shale,614,1818
W123,Conglomerate,1818,2450
W123,Sandstone,2450,3010
W124,Claystone,0,708
W124,Shale,708,1864
W124,Conglomerate,1864,2571
W124,Sandstone,2571,3140
W125,Claystone,0,503
W125,Conglomerate,503,1895
W125,Sandstone,1895,2545
W125,Limestone,2545,2950
W126,Claystone,0,504
W126,Conglomerate,504,1857
W126,Sandstone,1857,2565
W126,Limestone,2565,2970
W127,Claystone,0,582
W127,Conglomerate,582,1957
W127,Sandstone,1957,2687
W127,Limestone,2687,3090
W128,Claystone,0,526
W128,Conglomerate,526,1948
W128,Sandstone,1948,2650
W128,Limestone,2650,3040
W129,Claystone,0,509
W129,Conglomerate,509,1869
W129,Sandstone,1869,2560
W129,Limestone,2560,2960
W130,Claystone,0,467
W130,Conglomerate,467,1947
W130,Sandstone,1947,2696
W130,Limestone,2696,3110
W131,Claystone,0,544
W131,Conglomerate,544,2062
W131,Sandstone,2062,2855
W131,Limestone,2855,3290
W132,Claystone,0,431
W132,Conglomerate,431,1704
W132,Sandstone,1704,2393
W132,Limestone,2393,2740
W133,Conglomerate,0,2011
W133,Sandstone,2011,2782
W133,Limestone,2782,3210
W134,Claystone,0,481
W134,Conglomerate,481,1719
W134,Sandstone,1719,2327
W134,Limestone,2327,2690
W135,Claystone,0,483
W135,Conglomerate,483,1895
W135,Sandstone,1895,2652
W135,Limestone,2652,3040
W136,Claystone,0,522
W136,Conglomerate,522,2036
W136,Sandstone,2036,2751
W136,Limestone,2751,3170
W137,Claystone,0,500
W137,Conglomerate,500,1835
W137,Sandstone,1835,2482
W137,Limestone,2482,2870
W138,Claystone,0,505
W138,Conglomerate,505,1998
W138,Sandstone,1998,2708
W138,Limestone,2708,3110
W139,Claystone,0,502
W139,Conglomerate,502,1856
W139,Sandstone,1856,2559
W139,Limestone,2559,2950
W140,Claystone,0,451
W140,Conglomerate,451,1690
W140,Sandstone,1690,2330
W140,Limestone,2330,2700
W141,Claystone,0,778
W141,Shale,778,2005
W141,Sandstone,2005,2850
W142,Claystone,0,548
W142,Sandstone,548,1831
W142,Shale,1831,2565
W142,Limestone,2565,3120
W143,Conglomerate,0,374
W143,Sandstone,374,1451
W143,Shale,1451,2250
