well_id,well_name,latitude,longitude,field,total_depth_m,primary_formation,well_status,spud_date,well_role
W047,SYN-Rajasthan-Barmer-003,25.709179,71.409175,SYN-Rajasthan-Barmer,3830,Limestone,Drilled,2010-07-03,Historical
W048,SYN-Rajasthan-Barmer-004,25.78885,71.432548,SYN-Rajasthan-Barmer,3910,Limestone,Completed,2022-12-22,Historical
W049,SYN-Rajasthan-Barmer-005,25.737049,71.340298,SYN-Rajasthan-Barmer,3870,Limestone,Abandoned,2019-06-08,Historical
W050,SYN-Rajasthan-Barmer-006,25.717621,71.457087,SYN-Rajasthan-Barmer,3240,Limestone,Completed,2023-09-26,Historical
W051,SYN-Rajasthan-Barmer-007,25.811524,71.374175,SYN-Rajasthan-Barmer,3840,Limestone,Completed,2018-06-22,Historical
W052,SYN-Rajasthan-Barmer-008,25.685435,71.373375,SYN-Rajasthan-Barmer,3250,Limestone,Completed,2013-06-21,Historical
W053,SYN-Rajasthan-Barmer-009,25.780579,71.473591,SYN-Rajasthan-Barmer,3220,Limestone,Abandoned,2019-09-14,Historical
W054,SYN-Rajasthan-Barmer-010,25.777139,71.320144,SYN-Rajasthan-Barmer,3910,Limestone,Completed,2022-11-15,Historical
W055,SYN-Rajasthan-Barmer-011,25.679323,71.443697,SYN-Rajasthan-Barmer,3910,Limestone,Completed,2013-09-02,Historical
W056,SYN-Rajasthan-Barmer-012,25.83088,71.424226,SYN-Rajasthan-Barmer,3490,Limestone,Completed,2011-12-03,Historical
W057,SYN-Rajasthan-Barmer-013,25.700542,71.319753,SYN-Rajasthan-Barmer,3160,Limestone,Abandoned,2015-01-20,Historical
W058,SYN-Rajasthan-Barmer-014,25.740374,71.500663,SYN-Rajasthan-Barmer,3410,Limestone,Drilled,2010-07-02,Historical
W059,SYN-Rajasthan-Barmer-015,25.825149,71.340257,SYN-Rajasthan-Barmer,3470,Limestone,Completed,2020-11-16,Historical
W060,SYN-Rajasthan-Barmer-016,25.653375,71.389975,SYN-Rajasthan-Barmer,3430,Limestone,Completed,2014-09-09,Historical
W061,SYN-Rajasthan-Barmer-017,25.816831,71.480241,SYN-Rajasthan-Barmer,3180,Limestone,Completed,2008-09-14,Historical
W062,SYN-Rajasthan-Barmer-018,25.750354,71.28711,SYN-Rajasthan-Barmer,3510,Limestone,Completed,2022-09-09,Historical
W063,SYN-Rajasthan-Barmer-019,25.677184,71.482657,SYN-Rajasthan-Barmer,3450,Limestone,Completed,2013-06-24,Historical
W064,SYN-Rajasthan-Barmer-020,25.857156,71.387022,SYN-Rajasthan-Barmer,3410,Limestone,Abandoned,2012-02-14,Historical
W065,SYN-Rajasthan-Barmer-021,25.665054,71.322273,SYN-Rajasthan-Barmer,3660,Limestone,Completed,2019-11-24,Historical
W066,SYN-Rajasthan-Barmer-022,25.779048,71.520082,SYN-Rajasthan-Barmer,3610,Limestone,Completed,2008-06-09,Historical
W067,SYN-Rajasthan-Barmer-023,25.814454,71.294704,SYN-Rajasthan-Barmer,3280,Limestone,Completed,2018-01-06,Historical
W068,SYN-Rajasthan-Barmer-024,25.641187,71.446955,SYN-Rajasthan-Barmer,3870,Limestone,Drilled,2023-07-17,Historical
W069,SYN-Gujarat-Cambay-001,22.300276,72.63138,SYN-Gujarat-Cambay,3060,Limestone,Completed,2013-09-27,Historical
W070,SYN-Gujarat-Cambay-002,22.320153,72.593068,SYN-Gujarat-Cambay,3490,Limestone,Completed,2021-12-03,Historical
W071,SYN-Gujarat-Cambay-003,22.258972,72.625656,SYN-Gujarat-Cambay,3630,Limestone,Drilled,2016-02-01,Historical
W072,SYN-Gujarat-Cambay-004,22.340352,72.650256,SYN-Gujarat-Cambay,3110,Limestone,Completed,2017-05-02,Historical
W073,SYN-Gujarat-Cambay-005,22.285481,72.562494,SYN-Gujarat-Cambay,3430,Limestone,Drilled,2021-07-01,Historical
W074,SYN-Gujarat-Cambay-006,22.270126,72.676411,SYN-Gujarat-Cambay,3280,Limestone,Drilled,2013-01-28,Historical
W075,SYN-Gujarat-Cambay-007,22.360961,72.595427,SYN-Gujarat-Cambay,2910,Limestone,Abandoned,2023-10-20,Historical
W076,SYN-Gujarat-Cambay-008,22.236784,72.591788,SYN-Gujarat-Cambay,3220,Limestone,Abandoned,2021-09-01,Historical
W077,SYN-Gujarat-Cambay-009,22.330827,72.692105,SYN-Gujarat-Cambay,3080,Limestone,Completed,2012-04-06,Historical
W078,SYN-Gujarat-Cambay-010,22.324092,72.541641,SYN-Gujarat-Cambay,3600,Limestone,Completed,2022-05-22,Historical
W079,SYN-Gujarat-Cambay-011,22.230766,72.662531,SYN-Gujarat-Cambay,3260,Limestone,Completed,2012-10-28,Historical
W080,SYN-Gujarat-Cambay-012,22.382628,72.637239,SYN-Gujarat-Cambay,3650,Limestone,Abandoned,2021-04-01,Historical
W081,SYN-Gujarat-Cambay-013,22.249621,72.542002,SYN-Gujarat-Cambay,3550,Limestone,Completed,2020-08-04,Historical
W082,SYN-Gujarat-Cambay-014,22.292946,72.716809,SYN-Gujarat-Cambay,3470,Limestone,Completed,2011-01-24,Historical
W083,SYN-Gujarat-Cambay-015,22.373433,72.557091,SYN-Gujarat-Cambay,3640,Limestone,Completed,2013-02-08,Historical
W084,SYN-Gujarat-Cambay-016,22.203734,72.614618,SYN-Gujarat-Cambay,3210,Limestone,Drilled,2013-01-04,Historical
W085,SYN-Gujarat-Cambay-017,22.366864,72.698783,SYN-Gujarat-Cambay,2920,Limestone,Abandoned,2015-09-15,Historical
W086,SYN-Gujarat-Cambay-018,22.293794,72.510107,SYN-Gujarat-Cambay,3470,Limestone,Abandoned,2013-04-23,Historical
W087,SYN-Gujarat-Cambay-019,22.227437,72.701434,SYN-Gujarat-Cambay,3590,Limestone,Completed,2010-09-26,Historical
W088,SYN-Gujarat-Cambay-020,22.407137,72.609287,SYN-Gujarat-Cambay,3430,Limestone,Drilled,2015-07-20,Historical
W089,SYN-Karnataka-Mangalore-001,12.910203,74.862217,SYN-Karnataka-Mangalore,2800,Shale,Completed,2015-01-13,Historical
W090,SYN-Karnataka-Mangalore-002,12.929242,74.823438,SYN-Karnataka-Mangalore,2760,Shale,Abandoned,2018-02-04,Historical
W091,SYN-Karnataka-Mangalore-003,12.868242,74.858624,SYN-Karnataka-Mangalore,3310,Shale,Completed,2019-09-21,Historical
W092,SYN-Karnataka-Mangalore-004,12.952177,74.877346,SYN-Karnataka-Mangalore,2830,Shale,Abandoned,2010-07-22,Historical
W093,SYN-Karnataka-Mangalore-005,12.899963,74.794859,SYN-Karnataka-Mangalore,2760,Shale,Drilled,2010-04-16,Historical
W094,SYN-Karnataka-Mangalore-006,12.88175,74.904158,SYN-Karnataka-Mangalore,2760,Shale,Completed,2009-04-15,Historical
W095,SYN-Karnataka-Mangalore-007,12.97035,74.824009,SYN-Karnataka-Mangalore,2730,Shale,Completed,2015-02-11,Historical
W096,SYN-Karnataka-Mangalore-008,12.847033,74.820421,SYN-Karnataka-Mangalore,3180,Shale,Drilled,2021-07-11,Historical
W097,SYN-Karnataka-Mangalore-009,12.937203,74.919243,SYN-Karnataka-Mangalore,3250,Shale,Abandoned,2013-07-13,Historical
W098,SYN-Karnataka-Mangalore-010,12.936624,74.775347,SYN-Karnataka-Mangalore,3120,Shale,Abandoned,2014-11-26,Historical
W099,SYN-Karnataka-Mangalore-011,12.83938,74.890956,SYN-Karnataka-Mangalore,3110,Shale,Completed,2013-10-22,Historical
W100,SYN-Karnataka-Mangalore-012,12.992281,74.866896,SYN-Karnataka-Mangalore,3400,Shale,Drilled,2013-06-13,Historical
W101,SYN-Karnataka-Mangalore-013,12.861356,74.776742,SYN-Karnataka-Mangalore,2780,Shale,Drilled,2023-08-02,Historical
W102,SYN-Karnataka-Mangalore-014,12.894816,74.94147,SYN-Karnataka-Mangalore,2850,Shale,Abandoned,2008-09-11,Historical
W103,SYN-Karnataka-Mangalore-015,12.985512,74.793474,SYN-Karnataka-Mangalore,3340,Shale,Completed,2011-05-22,Historical
W104,SYN-Karnataka-Mangalore-016,12.813993,74.850946,SYN-Karnataka-Mangalore,3370,Shale,Completed,2022-09-02,Historical
W105,SYN-Karnataka-Mangalore-017,12.982661,74.917894,SYN-Karnataka-Mangalore,2860,Shale,Completed,2009-10-17,Historical
W106,SYN-Karnataka-Mangalore-018,12.914185,74.745098,SYN-Karnataka-Mangalore,3400,Shale,Abandoned,2010-09-22,Historical
W107,SYN-Karnataka-Mangalore-019,12.838664,74.9293,SYN-Karnataka-Mangalore,2880,Shale,Completed,2013-07-03,Historical
W108,SYN-Karnataka-Mangalore-020,13.016902,74.835059,SYN-Karnataka-Mangalore,3170,Shale,Completed,2014-07-25,Historical
W109,SYN-Odisha-Mahanadi-001,20.281108,86.630835,SYN-Odisha-Mahanadi,2880,Sandstone,Drilled,2010-08-12,Historical
W110,SYN-Odisha-Mahanadi-002,20.298748,86.590996,SYN-Odisha-Mahanadi,2860,Sandstone,Completed,2023-09-17,Historical
W111,SYN-Odisha-Mahanadi-003,20.237847,86.6246,SYN-Odisha-Mahanadi,3030,Sandstone,Drilled,2023-09-24,Historical
W112,SYN-Odisha-Mahanadi-004,20.322002,86.645772,SYN-Odisha-Mahanadi,2970,Sandstone,Drilled,2010-09-18,Historical
W113,SYN-Odisha-Mahanadi-005,20.266912,86.562573,SYN-Odisha-Mahanadi,3310,Sandstone,Drilled,2008-09-15,Historical
W114,SYN-Odisha-Mahanadi-006,20.252815,86.676124,SYN-Odisha-Mahanadi,3300,Sandstone,Drilled,2023-02-06,Historical
W115,SYN-Odisha-Mahanadi-007,20.341147,86.594264,SYN-Odisha-Mahanadi,3210,Sandstone,Drilled,2010-01-10,Historical
W116,SYN-Odisha-Mahanadi-008,20.218779,86.58759,SYN-Odisha-Mahanadi,3010,Sandstone,Completed,2012-06-10,Historical
W117,SYN-Odisha-Mahanadi-009,20.307645,86.693005,SYN-Odisha-Mahanadi,2940,Sandstone,Abandoned,2016-11-17,Historical
W118,SYN-Odisha-Mahanadi-010,20.302359,86.541913,SYN-Odisha-Mahanadi,3010,Sandstone,Abandoned,2009-06-09,Historical
W119,SYN-Odisha-Mahanadi-011,20.211818,86.665585,SYN-Odisha-Mahanadi,3000,Sandstone,Abandoned,2022-12-11,Historical
W120,SYN-Odisha-Mahanadi-012,20.35963,86.645942,SYN-Odisha-Mahanadi,3060,Sandstone,Completed,2016-08-02,Historical
W121,SYN-Odisha-Mahanadi-013,20.232151,86.54314,SYN-Odisha-Mahanadi,3300,Sandstone,Abandoned,2012-10-27,Historical
W122,SYN-Odisha-Mahanadi-014,20.264304,86.715758,SYN-Odisha-Mahanadi,3070,Sandstone,Completed,2016-06-08,Historical
W123,SYN-Odisha-Mahanadi-015,20.353989,86.558742,SYN-Odisha-Mahanadi,3010,Sandstone,Drilled,2021-12-17,Historical
W124,SYN-Odisha-Mahanadi-016,20.184583,86.608119,SYN-Odisha-Mahanadi,3140,Sandstone,Completed,2018-01-13,Historical
W125,SYN-AndhraPradesh-Krishna-001,16.300113,81.140637,SYN-AndhraPradesh-Krishna,2950,Conglomerate,Drilled,2023-12-10,Historical
W126,SYN-AndhraPradesh-Krishna-002,16.322008,81.103328,SYN-AndhraPradesh-Krishna,2970,Conglomerate,Abandoned,2016-09-25,Historical
W127,SYN-AndhraPradesh-Krishna-003,16.259282,81.13868,SYN-AndhraPradesh-Krishna,3090,Conglomerate,Completed,2010-05-28,Historical
W128,SYN-AndhraPradesh-Krishna-004,16.342729,81.154573,SYN-AndhraPradesh-Krishna,3040,Conglomerate,Completed,2011-12-05,Historical
W129,SYN-AndhraPradesh-Krishna-005,16.285623,81.074337,SYN-AndhraPradesh-Krishna,2960,Conglomerate,Abandoned,2008-05-13,Historical
W130,SYN-AndhraPradesh-Krishna-006,16.272516,81.186375,SYN-AndhraPradesh-Krishna,3110,Conglomerate,Completed,2019-02-28,Historical
W131,SYN-AndhraPradesh-Krishna-007,16.361648,81.112429,SYN-AndhraPradesh-Krishna,3290,Conglomerate,Completed,2014-07-11,Historical
W132,SYN-AndhraPradesh-Krishna-008,16.235961,81.102845,SYN-AndhraPradesh-Krishna,2740,Conglomerate,Completed,2017-04-08,Historical
W133,SYN-AndhraPradesh-Krishna-009,16.329121,81.200129,SYN-AndhraPradesh-Krishna,3210,Conglomerate,Completed,2010-09-09,Historical
W134,SYN-AndhraPradesh-Krishna-010,16.322215,81.052695,SYN-AndhraPradesh-Krishna,2690,Conglomerate,Completed,2014-06-06,Historical
W135,SYN-AndhraPradesh-Krishna-011,16.23194,81.175005,SYN-AndhraPradesh-Krishna,3040,Conglomerate,Completed,2010-10-09,Historical
W136,SYN-AndhraPradesh-Krishna-012,16.381814,81.14682,SYN-AndhraPradesh-Krishna,3170,Conglomerate,Abandoned,2017-10-23,Historical
W137,SYN-AndhraPradesh-Krishna-013,16.247568,81.058342,SYN-AndhraPradesh-Krishna,2870,Conglomerate,Completed,2022-11-08,Historical
W138,SYN-AndhraPradesh-Krishna-014,16.287469,81.222929,SYN-AndhraPradesh-Krishna,3110,Conglomerate,Drilled,2017-05-14,Historical
W139,SYN-AndhraPradesh-Krishna-015,16.371965,81.066837,SYN-AndhraPradesh-Krishna,2950,Conglomerate,Abandoned,2011-02-01,Historical
W140,SYN-AndhraPradesh-Krishna-016,16.20466,81.131221,SYN-AndhraPradesh-Krishna,2700,Conglomerate,Completed,2019-11-27,Historical
W141,SYN-Assam-Duliajan-CURRENT,27.37,95.32,SYN-Assam-Duliajan,2850,Sandstone,Active,2025-09-12,Current
W142,SYN-Rajasthan-Barmer-CURRENT,25.75,71.4,SYN-Rajasthan-Barmer,3120,Limestone,Active,2025-08-04,Current
W143,SYN-Karnataka-Mangalore-CURRENT,12.91,74.85,SYN-Karnataka-Mangalore,2250,Shale,Active,2025-10-21,Current
