record_id,well_id,depth_m,mud_weight_ppg,rop_m_per_hr,rpm,wob_klbf
R000088,W001,2200,12.07,16.63,112.6,23.26
R000089,W001,2225,12.01,18.44,114.3,23.76
R000090,W001,2250,12.17,16.98,122.7,23.9
R000091,W001,2275,12.21,16.77,108.7,21.89
R000092,W001,2300,12.22,15.41,109.8,24.38
R000093,W001,2325,12.2,15.2,121.6,23.09
R000094,W001,2350,12.26,14.98,117.5,24.9
R000095,W001,2375,12.26,17,115.1,23.22
R000096,W001,2400,12.35,15.62,110,23.89
R000097,W001,2425,12.41,14.83,112.8,23.11
R000098,W001,2450,12.35,17.02,117.5,24.77
R000099,W001,2475,12.48,14.07,112.7,24.2
R000100,W001,2500,12.39,16.66,105.9,25.74
R000101,W001,2525,12.47,15.38,116.8,25
R000102,W001,2550,12.46,16.75,107.3,24.23
R000103,W001,2575,12.49,14.93,107.9,26.8
R000104,W001,2600,12.52,14.48,107.6,24.94
R000105,W001,2625,12.56,13.56,109.3,26
R000106,W001,2650,12.73,16.54,110.4,27.61
R000107,W001,2675,12.76,15.95,106.8,25.95
R000108,W001,2700,12.76,16.74,111.6,27.39
R000109,W001,2725,12.77,15.26,114.9,27.51
R000110,W001,2750,12.87,14.43,116,28.09
R000111,W001,2775,12.68,17.45,105.5,25.78
R000112,W001,2800,12.65,16.57,108.9,25.36
R000113,W001,2825,12.86,15.4,112.4,26.74
R000114,W001,2850,12.88,13.49,110.5,27.56
R000115,W001,2875,12.99,15.65,107.3,26.77
R000116,W001,2900,13.07,12.76,101.7,28.91
R000117,W001,2925,13.01,15.92,112.5,28.06
R000118,W001,2950,13.14,14.42,107.3,27.28
R000119,W001,2975,13.05,15.39,111.5,29
R000120,W001,3000,13.16,14.28,112.6,29.1
R000121,W001,3025,13.2,15.38,99.3,29.59
R000122,W001,3050,13.26,11.8,98.4,29.47
R000123,W001,3075,13.21,13.78,101.9,32.06
R000124,W001,3100,13.61,7.11,96.5,32.75
R000125,W001,3125,13.71,7.67,97.3,33.32
R000126,W001,3150,13.66,8.13,91.8,35.18
R000127,W001,3175,13.71,6.96,95,33.85
R000128,W001,3200,13.77,8,90,35.02
R000129,W001,3225,13.78,6.95,87.7,33.7
R000130,W001,3250,13.81,6.99,86.5,33.61
R000131,W001,3275,13.98,7.35,94.8,35.67
R000132,W001,3300,13.88,7.61,96.2,36.45
R000133,W001,3325,13.89,6.81,86.2,35.52
R000134,W001,3350,13.97,6.78,90.5,35.8
R000135,W001,3375,14.08,7.18,94.5,36.29
R000136,W001,3400,14.08,7.26,85.9,35.8
R000137,W001,3425,14.17,8.05,95.6,35.64
R000138,W001,3450,14.21,6.61,94.7,34.93
R000139,W002,25,9.01,37.4,151,4.04
R000140,W002,50,9.13,30.42,143.6,3.9
R000141,W002,75,9.09,32.94,150,4.14
R000142,W002,100,9.07,35.35,138.3,4.9
R000143,W002,125,9.24,33.32,147.3,5.24
R000144,W002,150,9.16,30.43,150.7,4.77
R000145,W002,175,9.23,34.84,142.2,6.27
R000146,W002,200,9.24,37.01,136.8,5.05
R000147,W002,225,9.38,34.29,139.9,8.05
R000148,W002,250,9.3,30.06,144.6,8.1
R000149,W002,275,9.34,34.23,144.3,6.45
R000150,W002,300,9.36,31.16,136.8,8.61
R000151,W002,325,9.49,32.52,138,8.57
R000152,W002,350,9.48,33.83,137.3,8.12
R000153,W002,375,9.5,31.34,145.8,8.06
R000154,W002,400,9.63,33.42,138.6,8.89
R000155,W002,425,9.58,31.52,142.6,8.13
R000156,W002,450,9.64,32.56,138.5,8.72
R000157,W002,475,9.64,31.68,140.3,9.14
R000158,W002,500,9.7,31.17,141.9,8.45
R000159,W002,525,9.71,29.69,141.9,8.57
R000160,W002,550,9.71,34.85,139.3,7.79
R000161,W002,575,9.86,27.56,134.3,9.82
R000162,W002,600,9.84,30.17,141.7,10.83
R000163,W002,625,9.89,27.37,145.2,10.75
R000164,W002,650,9.95,29.81,139.8,11.2
R000165,W002,675,9.97,32.24,131.2,11.51
R000166,W002,700,9.97,27.6,136.6,9.08
R000167,W002,725,10.1,32.1,135,11.76
R000168,W002,750,10.03,27.05,142.6,9.58
R000169,W002,775,10.16,28.97,141.3,10.49
R000170,W002,800,10.18,18.34,136.6,14.31
R000171,W002,825,10.26,17.16,134.3,14.62
R000172,W002,850,10.27,19.49,132.2,14.12
R000173,W002,875,10.4,15.74,131.5,14.3
R000174,W002,900,10.43,18.23,129,14.88
R000175,W002,925,10.46,16.4,130.5,13.01
R000176,W002,950,10.41,17.01,129.4,14.16
R000177,W002,975,10.53,15.27,136.3,13.08
R000178,W002,1000,10.48,18.5,133.7,13.32
R000179,W002,1025,10.51,18.94,123.3,15.34
R000180,W002,1050,10.53,18.73,125.5,16.18
R000181,W002,1075,10.62,17.96,129.9,15.84
R000182,W002,1100,10.71,16.52,122.1,14.39
R000183,W002,1125,10.64,15.98,123.4,17.11
R000184,W002,1150,10.68,14.72,119.1,17.21
R000185,W002,1175,10.79,18.68,133,16.11
R000186,W002,1200,10.8,16.81,123.3,16.91
R000187,W002,1225,10.81,15.72,132.7,17.28
R000188,W002,1250,10.84,16.97,121.8,16.72
R000189,W002,1275,10.83,18.24,122.6,15.61
R000190,W002,1300,10.96,17.58,126.9,17.3
R000191,W002,1325,10.97,14.91,127.4,18.03
R000192,W002,1350,10.99,17.48,128.1,18.04
R000193,W002,1375,11,17.32,129.5,17.39
R000194,W002,1400,11.13,16.87,120.4,16.17
R000195,W002,1425,11.11,17.54,127.5,19.11
R000196,W002,1450,11.2,17.04,129.9,16.72
R000197,W002,1475,11.24,17.45,119.2,18.83
R000198,W002,1500,11.16,13.71,115.6,17.7
R000199,W002,1525,11.28,16.23,119.1,17.6
R000200,W002,1550,11.32,17.37,117.8,20.1
R000201,W002,1575,11.36,16.07,128.4,19.02
R000202,W002,1600,11.33,17.29,125.4,19.73
R000203,W002,1625,11.44,14.21,125,20.47
R000204,W002,1650,11.45,14.79,121.1,18.49
R000205,W002,1675,11.52,15.85,120.9,19.21
R000206,W002,1700,11.59,16.33,122,20.37
R000207,W002,1725,11.57,15.98,124.8,20.11
R000208,W002,1750,11.51,15.6,114.5,19.08
R000209,W002,1775,11.68,15.57,114.9,20.72
R000210,W002,1800,11.72,13.78,123.7,20.33
R000211,W002,1825,11.7,13.92,121.1,19.59
R000212,W002,1850,11.75,14.33,120.3,19.73
R000213,W002,1875,11.79,14.52,117.6,20.86
R000214,W002,1900,11.64,17.68,127,20.02
R000215,W002,1925,11.63,16.02,116.7,22.11
R000216,W002,1950,11.71,15.69,114.2,22.12
R000217,W002,1975,11.76,16.95,115.2,20.66
R000218,W002,2000,11.8,16.71,125.8,21.94
R000219,W002,2025,11.72,16.99,119.7,22.79
R000220,W002,2050,11.79,17.61,112.9,22.81
R000221,W002,2075,11.83,18.25,119.1,21.81
R000222,W002,2100,11.83,16.31,112.7,20.67
R000223,W002,2125,11.94,17.42,122.3,21.94
R000224,W002,2150,11.95,17.57,115.8,23.52
R000225,W002,2175,12.01,15.55,115.2,22.76
R000226,W002,2200,12.03,16.45,118.9,23.05
R000227,W002,2225,12.05,15.28,121.7,21.69
R000228,W002,2250,12.05,16.68,115.6,23.21
R000229,W002,2275,12.06,15.16,113.4,23.58
R000230,W002,2300,12.11,16.07,118.1,22.94
R000231,W002,2325,12.14,15.08,121.7,23.31
R000232,W002,2350,12.16,16.07,109.9,24.68
R000233,W002,2375,12.23,15.94,118.3,24.59
R000234,W002,2400,12.28,15.38,114,23.55
R000235,W002,2425,12.26,15.1,111.8,25.85
R000236,W002,2450,12.45,16.79,115.4,25.57
R000237,W002,2475,12.39,15.47,108,24.17
R000238,W002,2500,12.39,16.55,114,24.35
R000239,W002,2525,12.56,17.37,110.9,26.25
R000240,W002,2550,12.53,15.05,110.4,25.49
R000241,W002,2575,12.54,15.62,117,25.8
R000242,W002,2600,12.67,16.07,106.7,27.09
R000243,W002,2625,12.67,15.9,114.9,27.04
R000244,W002,2650,12.74,16.73,104.6,27.5
R000245,W002,2675,12.76,14,108.5,26.73
R000246,W002,2700,12.75,16.77,105.2,27.28
R000247,W002,2725,12.75,14.81,113.4,25.76
R000248,W002,2750,12.87,16.49,113.9,28.07
R000249,W002,2775,12.83,15.93,111.2,25.96
R000250,W002,2800,12.46,18.32,105.1,23.4
R000251,W002,2825,12.91,15.76,102.3,27.74
R000252,W002,2850,12.87,14.31,105.8,27.9
R000253,W002,2875,13.03,14.69,105.4,26.77
R000254,W002,2900,13.01,13.16,109.4,27.26
R000255,W002,2925,12.99,13.55,102.8,29.59
R000256,W002,2950,13.11,12.69,112.7,27.6
R000257,W002,2975,13.11,13.46,109.3,28.34
R000258,W002,3000,13.14,14.04,103.8,29.91
R000259,W002,3025,13.21,12.9,106.4,27.6
R000260,W002,3050,13.16,13.48,107.2,29.4
R000261,W002,3075,13.35,14.25,105.6,30.35
R000262,W002,3100,13.72,8.07,88,34.49
R000263,W002,3125,13.72,8.3,93.8,33.04
R000264,W002,3150,13.74,8.2,97.6,33.72
R000265,W002,3175,13.73,8.67,90.1,32.86
R000266,W002,3200,13.84,7.34,96.9,34.42
R000267,W002,3225,13.87,7.98,90.4,33.09
R000268,W002,3250,13.92,7.06,97.2,33.29
R000269,W002,3275,13.95,8.43,85,35.18
R000270,W002,3300,13.85,7.57,92.3,34.66
R000271,W002,3325,13.93,7.66,83.8,35.87
R000272,W002,3350,13.94,7.25,88,35.07
R000273,W002,3375,14.04,7.62,93.1,35.69
R000274,W002,3400,14.01,6.64,91.9,34.71
R000275,W002,3425,14.06,7,94.1,36.21
R000276,W002,3450,14.21,7.34,82.8,37.11
R000277,W003,25,9.1,37.07,140.1,5.03
R000278,W003,50,9.14,36.49,140.1,3.92
R000279,W003,75,9.09,35.1,141.5,4.68
R000280,W003,100,9.21,31,147.3,6.03
R000281,W003,125,9.23,30.18,139.7,5.43
R000282,W003,150,9.19,34.55,147.7,6.96
R000283,W003,175,9.22,35.04,150.2,6.83
R000284,W003,200,9.28,36.53,138.7,6.13
R000285,W003,225,9.38,35.17,137.1,6.21
R000286,W003,250,9.41,33.27,138.5,6.92
R000287,W003,275,9.39,31.57,138.4,7.22
R000288,W003,300,9.35,29.65,144.9,6.23
R000289,W003,325,9.53,32.8,140,7.58
R000290,W003,350,9.55,32.42,143.2,6.99
R000291,W003,375,9.48,30.53,138.3,8.55
R000292,W003,400,9.51,32.97,137,7.1
R000293,W003,425,9.57,29.64,134.4,9.04
R000294,W003,450,9.7,35.13,135.3,8.48
R000295,W003,475,9.69,28.99,143.8,8.46
R000296,W003,500,9.69,28.03,133.4,9.91
R000297,W003,525,9.78,28.55,135.2,9.26
R000298,W003,550,9.71,34.44,143.2,9.26
R000299,W003,575,9.78,30,142.1,8.12
R000300,W003,600,9.86,28.36,140.3,9.22
R000301,W003,625,9.96,32.24,136.9,10.14
R000302,W003,650,9.99,29.3,141.7,8.54
R000303,W003,675,9.92,30.27,136.3,10.24
R000304,W003,700,9.92,27.58,139.7,9.09
R000305,W003,725,10.01,27.88,138.4,11.02
R000306,W003,750,10.03,31.78,143.3,11.47
R000307,W003,775,10.1,29.22,139,10.13
R000308,W003,800,10.15,28.95,133.6,10.43
R000309,W003,825,10.17,29.94,130.6,12.76
R000310,W003,850,10.26,32.13,140.9,11.26
R000311,W003,875,10.28,16.77,136.5,13.84
R000312,W003,900,10.32,19.12,132.3,12.39
R000313,W003,925,10.37,16.07,128,15.16
R000314,W003,950,10.53,16.33,136.1,15.42
R000315,W003,975,10.56,18.48,133,15.55
R000316,W003,1000,10.49,17.29,124.3,13.4
R000317,W003,1025,10.49,16.59,133.4,15.63
R000318,W003,1050,10.61,16.74,131.1,14.76
R000319,W003,1075,10.62,18.63,133.6,16.38
R000320,W003,1100,10.68,17.18,123,14.91
R000321,W003,1125,10.62,16.84,132.5,14.11
R000322,W003,1150,10.68,17.03,122,15.87
R000323,W003,1175,10.74,15.25,132,15.22
R000324,W003,1200,10.87,17.9,123.9,15.19
R000325,W003,1225,10.92,16.55,124.7,16.06
R000326,W003,1250,10.89,18.32,121.4,16.65
R000327,W003,1275,10.98,15.49,130.7,17.86
R000328,W003,1300,10.88,14.75,129.3,17.38
R000329,W003,1325,10.97,15.62,129.9,16.27
R000330,W003,1350,11.02,16.52,127.5,17.36
R000331,W003,1375,11.03,14.86,126.9,18.81
R000332,W003,1400,11.15,16.86,121.5,16.52
R000333,W003,1425,11.19,14.07,118.8,18.72
R000334,W003,1450,11.09,15.09,110.9,19.52
R000335,W003,1475,11.24,15.88,129.7,17.89
R000336,W003,1500,11.26,17.29,121.6,19.43
R000337,W003,1525,11.34,14.39,126.6,19.71
R000338,W003,1550,11.29,16.22,126.4,20.06
R000339,W003,1575,11.31,14.25,115.4,19.58
R000340,W003,1600,11.42,15.26,120.5,20.22
R000341,W003,1625,11.37,16.72,126.5,17.98
R000342,W003,1650,11.51,13.83,124.4,18.52
R000343,W003,1675,11.42,15.84,120.8,19.46
R000344,W003,1700,11.56,15.69,116.4,18.84
R000345,W003,1725,11.47,13.47,115.4,19.46
R000346,W003,1750,11.53,14.62,120.8,21.42
R000347,W003,1775,11.6,16.84,122.3,20.22
R000348,W003,1800,11.65,14.47,118.2,20.83
R000349,W003,1825,11.74,16.01,113.3,20.74
R000350,W003,1850,11.71,16.14,115.4,19.77
R000351,W003,1875,11.76,16.51,121.7,22.45
R000352,W003,1900,11.74,13.48,124.6,20.89
R000353,W003,1925,11.88,15.4,122.8,23.04
R000354,W003,1950,11.94,15.54,118.1,23.23
R000355,W003,1975,11.86,14.47,111.6,21.12
R000356,W003,2000,11.99,15.4,118.3,22.63
R000357,W003,2025,11.95,15.42,116.3,21.51
R000358,W003,2050,12,14.41,109.8,23.7
R000359,W003,2075,12.06,15.94,120.1,23.62
R000360,W003,2100,12.02,15.15,112.8,23.76
R000361,W003,2125,12.14,15.2,119.4,22.43
R000362,W003,2150,12.23,13.7,121.9,22.82
R000363,W003,2175,12.19,14.71,117.2,23.09
R000364,W003,2200,11.92,19.59,116.3,21.44
R000365,W003,2225,11.97,19.73,114.1,21.52
R000366,W003,2250,12.1,17.4,122.1,22.91
R000367,W003,2275,12.13,17.86,120.7,24.11
R000368,W003,2300,12.22,16.21,113.5,23.61
R000369,W003,2325,12.17,15.35,109.6,23.86
R000370,W003,2350,12.29,18.18,119,23.79
R000371,W003,2375,12.32,17.67,107.8,25.49
R000372,W003,2400,12.36,16.79,117.3,23.72
R000373,W003,2425,12.36,14.21,112.9,22.97
R000374,W003,2450,12.45,17.44,110.3,23.7
R000375,W003,2475,12.46,15.66,113,24.84
R000376,W003,2500,12.51,14.1,113.8,24.04
R000377,W003,2525,12.49,14.73,113.5,25.17
R000378,W003,2550,12.52,13.96,105.2,25.62
R000379,W003,2575,12.57,16.19,107.2,26.73
R000380,W003,2600,12.58,15.57,109.5,24.75
R000381,W003,2625,12.58,14.27,115,25.25
R000382,W003,2650,12.59,13.72,107.1,24.95
R000383,W003,2675,12.63,14.91,105.4,25.01
R000384,W003,2700,12.67,16.73,111.6,25.09
R000385,W003,2725,12.74,13.93,105.4,25.21
R000386,W003,2750,12.74,15.96,107.5,25.45
R000387,W003,2775,12.79,15.42,103.3,27.8
R000388,W003,2800,12.92,13.51,102.8,26.65
R000389,W003,2825,12.77,14.9,106.1,26.96
R000390,W003,2850,12.81,14.64,115.1,25.03
R000391,W003,2875,13.01,16.15,107.1,28.37
R000392,W003,2900,13.06,12.77,114.1,26.65
R000393,W003,2925,13.04,13.89,104.1,26.79
R000394,W003,2950,13.13,12.7,107.1,28.66
R000395,W003,2975,13.18,15.78,104.4,27.82
R000396,W003,3000,13.1,14.39,102.3,27.65
R000397,W003,3025,13.16,13.49,103.9,29.7
R000398,W003,3050,13.22,14.2,99.1,30.48
R000399,W003,3075,13.3,13.4,112.4,29.57
R000400,W003,3100,13.22,12.15,109.7,28.65
R000401,W003,3125,13.33,12.06,109.4,29.4
R000402,W003,3150,13.29,14.33,97.9,30.97
R000403,W003,3175,13.41,12.83,99.4,31.06
R000404,W003,3200,13.45,14.71,107,30.38
R000405,W003,3225,13.46,11.78,99.5,30.26
R000406,W003,3250,13.5,13.23,103.7,31.29
R000407,W003,3275,13.62,13.11,109.5,30.89
R000408,W003,3300,13.61,12.56,107.7,30.82
R000409,W003,3325,13.62,11.91,108.5,29.95
R000410,W003,3350,13.66,13.46,106.7,30.77
R000411,W003,3375,13.67,11.62,95.7,30.83
R000412,W003,3400,13.66,13.9,101.8,30.94
R000413,W003,3425,13.76,13.41,105,32.85
R000414,W003,3450,14.15,8.04,84.3,37.59
R000415,W003,3475,14.17,6.45,81.7,35.89
R000416,W003,3500,14.23,7.26,94.9,37.77
R000417,W003,3525,14.33,6.99,83,37.67
R000418,W003,3550,14.22,7.66,89.6,36.89
R000419,W003,3575,14.26,6.72,87.4,36.15
R000420,W003,3600,14.29,7.2,86,36.18
R000421,W003,3625,14.34,7.24,81.7,37.54
R000422,W003,3650,14.45,7.26,81.1,38.22
R000423,W003,3675,14.46,7.05,93,37.03
R000424,W003,3700,14.58,6.72,85.2,39.01
R000425,W003,3725,14.49,6.84,92,38.51
R000426,W003,3750,14.64,6.16,85.7,37.5
R000427,W003,3775,14.58,6.73,83.4,38.32
R000428,W003,3800,14.7,7.32,84.3,40.37
R000429,W003,3825,14.73,7.24,81.2,39.92
R000430,W003,3850,14.7,5.98,79.9,38.57
R000431,W004,25,9,34.17,139.2,5.38
R000432,W004,50,9,30.2,151.2,5.12
R000433,W004,75,9.06,31.12,138.4,6.35
R000434,W004,100,9.16,30.07,148.7,7.19
R000435,W004,125,9.16,31.87,148,5.29
R000436,W004,150,9.29,29.9,144.5,5.5
R000437,W004,175,9.27,31.33,138.6,7.6
R000438,W004,200,9.28,35.72,136.9,5.94
R000439,W004,225,9.34,33.96,141.7,6.72
R000440,W004,250,9.37,31.88,140.5,5.42
R000441,W004,275,9.38,35.7,140.8,8.44
R000442,W004,300,9.39,28.95,140.4,8.05
R000443,W004,325,9.54,35.52,136.7,6.6
R000444,W004,350,9.47,30,142.8,7.85
R000445,W004,375,9.56,33.22,135,7.65
R000446,W004,400,9.54,34.66,140.7,9.44
R000447,W004,425,9.62,28.69,138.3,9.59
R000448,W004,450,9.67,28.28,143,7.1
R000449,W004,475,9.62,34.17,144.9,9.03
R000450,W004,500,9.67,34.2,145.6,8.33
R000451,W004,525,9.79,31.46,142.8,9.36
R000452,W004,550,9.85,32.88,134.2,10.47
R000453,W004,575,9.85,30.58,132.9,9.14
R000454,W004,600,9.9,33.65,138.8,10.16
R000455,W004,625,9.96,32.97,138.5,9.68
R000456,W004,650,9.89,30.66,143,11.01
R000457,W004,675,9.97,30.8,135.1,9.58
R000458,W004,700,10.05,27.65,136.8,9.99
R000459,W004,725,10.03,31.9,142.6,11.28
R000460,W004,750,10.11,32.41,135.8,10.96
R000461,W004,775,10.04,30.65,136.9,10.74
R000462,W004,800,10.11,26.7,131.6,11.91
R000463,W004,825,10.28,16.15,126.5,14.19
R000464,W004,850,10.27,15.88,129.2,12.35
R000465,W004,875,10.33,16.12,124.2,14.77
R000466,W004,900,10.31,17.81,129.4,12.86
R000467,W004,925,10.46,19.09,127.1,14.6
R000468,W004,950,10.47,16.24,128.9,14.67
R000469,W004,975,10.52,18.74,125.1,14.31
R000470,W004,1000,10.55,15.4,135,14.93
R000471,W004,1025,10.6,15.25,135.9,15.63
R000472,W004,1050,10.54,18.13,123.5,16.02
R000473,W004,1075,10.55,18.42,131.9,14.89
R000474,W004,1100,10.72,18.04,132.8,16.66
R000475,W004,1125,10.68,17.14,122.7,14.76
R000476,W004,1150,10.75,17.57,125,17.12
R000477,W004,1175,10.82,16.58,124.1,16.73
R000478,W004,1200,10.79,15.83,121.1,16.23
R000479,W004,1225,10.76,17.69,120.7,16.67
R000480,W004,1250,10.91,14.88,121.6,16.42
R000481,W004,1275,10.96,17.76,130.9,16.42
R000482,W004,1300,11.01,15.12,126.5,16.53
R000483,W004,1325,11.04,15.38,121.5,16.33
R000484,W004,1350,11.09,18.12,125.1,17.32
R000485,W004,1375,11.02,18.06,126.3,18.7
R000486,W004,1400,11.11,15.29,121.8,17.94
R000487,W004,1425,11.19,16.17,117.9,17.12
R000488,W004,1450,11.24,15.73,130.7,19.18
R000489,W004,1475,11.2,17.21,118.5,18.24
R000490,W004,1500,11.15,14.22,122.3,17.31
R000491,W004,1525,11.29,16.28,128.8,19.01
R000492,W004,1550,11.29,17.23,123.3,17.41
R000493,W004,1575,11.36,14.12,116,19.11
R000494,W004,1600,11.3,16.21,124.3,18.29
R000495,W004,1625,11.45,16.87,126.2,19.22
R000496,W004,1650,11.39,17.03,122.6,20.45
R000497,W004,1675,11.42,16.14,121.5,19.48
R000498,W004,1700,11.5,15.61,125.6,20.22
R000499,W004,1725,11.51,16.77,120.2,20.74
R000500,W004,1750,11.59,15.62,126.4,20.2
R000501,W004,1775,11.6,15.46,115.6,19.32
R000502,W004,1800,11.73,13.47,115.7,20.77
R000503,W004,1825,11.67,16.28,116,21.5
R000504,W004,1850,11.74,15.31,125.3,22.31
R000505,W004,1875,11.71,14.2,116.7,20.24
R000506,W004,1900,11.8,16.49,120.5,21.11
R000507,W004,1925,11.85,13.11,115.7,22.85
R000508,W004,1950,11.92,15.38,119.7,21.01
R000509,W004,1975,11.9,15.51,122.9,22.77
R000510,W004,2000,12.02,14.7,116.5,22.46
R000511,W004,2025,11.74,19.31,116.1,20.53
R000512,W004,2050,11.83,18.81,120.7,21.82
R000513,W004,2075,11.79,16.7,124.8,22.06
R000514,W004,2100,11.95,19.08,115.9,21.03
R000515,W004,2125,11.87,15.21,123.2,21.6
R000516,W004,2150,11.89,18.07,113.9,22.46
R000517,W004,2175,11.92,18.01,119.3,22.81
R000518,W004,2200,12.02,17.9,115.9,21.57
R000519,W004,2225,12.09,16.7,120.2,24.14
R000520,W004,2250,12.15,15.49,109,24.43
R000521,W004,2275,12.17,18.24,117,22.45
R000522,W004,2300,12.18,17.64,111.9,24.6
R000523,W004,2325,12.15,14.74,118.9,23.63
R000524,W004,2350,12.28,17.75,115.9,22.69
R000525,W004,2375,12.35,17.37,119.3,23.08
R000526,W004,2400,12.37,14.61,119.2,25.42
R000527,W004,2425,12.41,14.38,107.4,22.96
R000528,W004,2450,12.4,17.44,107.3,24.23
R000529,W004,2475,12.4,13.94,110.6,25.6
R000530,W004,2500,12.43,16.24,109.8,26.2
R000531,W004,2525,12.54,14.93,114.6,25.53
R000532,W004,2550,12.49,14.62,110.8,24.05
R000533,W004,2575,12.56,16.37,114.8,24.39
R000534,W004,2600,12.55,14.87,106,24.77
R000535,W004,2625,12.7,16.92,118,25.98
R000536,W004,2650,12.7,15.89,113.4,26.79
R000537,W004,2675,12.62,13.82,115.5,25.1
R000538,W004,2700,12.79,16.1,108.7,26.21
R000539,W004,2725,12.7,15.83,103.5,26.81
R000540,W004,2750,12.83,15.14,104.4,27.57
R000541,W004,2775,12.79,14.96,107.6,26.92
R000542,W004,2800,12.93,16.26,102,27.52
R000543,W004,2825,12.99,14.98,113.4,27.77
R000544,W004,2850,12.86,13.91,106,27.31
R000545,W004,2875,12.93,16.48,103.8,28.07
R000546,W004,2900,12.96,14.08,108.6,27.86
R000547,W004,2925,13.05,13.57,110.6,27.53
